shop_name,location,shop_tel,shop_email
Readers Paradise,Boston,456-789-0123,paradise@books.com
Book World,Seattle,567-890-1234,world@books.com
Readers Heaven,Seattle,456-2341,heaven@books.com
Story Hub,Houston,901-234-5678,storyhub@books.com
Book Haven,Atlanta,012-345-6789,haven@books.com
The Book Nook,Chicago,213-456-7890,nook@books.com
Central Books,New York,789-123-4560,central@books.com
Knowledge Center,Los Angeles,312-555-0987,knowledge@books.com
Page Turners,San Francisco,876-543-2109,pageturners@books.com
Literary Corner,Miami,654-321-7890,corner@books.com
Book Hub,Denver,987-654-3210,bookhub@books.com
The Reading Room,Portland,503-123-4567,readingroom@books.com
Paper Trails,Dallas,214-987-6543,papertrails@books.com
Novel Ideas,Phoenix,602-345-6789,ideas@books.com
Tech Hub,Austin,737-555-1234,techhub@books.com
The Story Stop,San Diego,619-234-9876,storystop@books.com
Book Emporium,Las Vegas,702-890-3456,emporium@books.com
Readers Retreat,Orlando,407-456-7890,retreat@books.com
The Word Warehouse,Philadelphia,215-678-9012,warehouse@books.com
Book Junction,San Jose,408-345-9876,junction@books.com
Fiction Factory,Charlotte,980-234-5678,factory@books.com
Urban Reads,Detroit,313-987-6543,urbanreads@books.com
Library Lane,Minneapolis,612-456-7891,librarylane@books.com
The Book Loft,San Antonio,210-789-2345,bookloft@books.com
Readers Republic,Columbus,614-987-3210,republic@books.com
