title,edition,author,language,publisher
Django Blueprints,1st,Asad,English,Packt
Database Systems,1st,Grace Lee,English,DataPub
Cloud Computing,3rd,Helen White,English,CloudBooks
Python Basics,1st,James Wong,English,CodingPress
Machine Learning,2nd,Alice Chan,English,TechWorld
Deep Learning,2nd,Tommy Yuen,English,AIWorks
Data Science 101,3rd,Sarah Ho,English,InfoPress
Web Development,1st,Eric Fong,English,WebWorks
React in Action,1st,Peter Chow,English,CodeHouse
Java Fundamentals,1st,Martin Ng,English,TechReads
Advanced Python,2nd,Michael Lee,English,Packt
Full Stack Guide,1st,Lisa Cheng,English,TechPub
C++ for Beginners,1st,Daniel Lam,English,DataPub
Artificial Intelligence,3rd,Nancy Wong,English,AIBooks
Django Mastery,2nd,Anthony Cheung,English,CodeWorks
JavaScript Essentials,1st,Rebecca Lau,English,WebWorld
APIs with Python,1st,Patrick Yip,English,CodingPress
Kubernetes Made Easy,2nd,Henry Fong,English,CloudBooks
Docker Deep Dive,1st,Jason Tang,English,TechPress
PostgreSQL Pro,2nd,William Ho,English,DataHouse
Git and GitHub,1st,Angela Wong,English,CodeWorld
Linux Administration,3rd,Samuel Lee,English,SysPress
Flask in Practice,1st,Catherine Choi,English,Packt
DevOps Foundations,2nd,Stephen Ng,English,CloudTech
Data Visualization,1st,Emily Chan,English,InsightPress
